HTSUS,Articles of Civil Aircraft only,Description,Descrição
2707.50.00,,"Aromatic hydrocarbon mixtures (from the distillation of high-temperature coal tar, or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents), other than Benzene, Toluene, Xylenes, and Naphathalene, in which 65% or more by volume (including losses) distills at 250 C by the ISO 3405 method (equivalent to the ASTM D 86 method)","Aromatic hydrocarbon mixtures (from the distillation of high-temperature coal tar, or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents), other than Benzene, Toluene, Xylenes, and Naphathalene, in which 65% or more by volume (including losses) distills at 250 C by the ISO 3405 method (equivalent to the ASTM D 86 method)"
2707.91.00,,"Creosote oils, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents","Óleos de creosote, a partir da destilação de alcatrão de carvão de alta temperatura ou produtos similares nos quais o peso dos constituintes aromáticos excede o dos constituintes não-aromáticos"
2707.99.10,,"Light oil, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents","Óleo leve, a partir da destilação de alcatrão de carvão de alta temperatura ou produtos similares nos quais o peso dos constituintes aromáticos excede o dos constituintes não aromáticos"
2707.99.20,,"Picolines, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents","Picolines, a partir da destilação de alcatrão de carvão de alta temperatura ou produtos similares nos quais o peso dos constituintes aromáticos excede o dos constituintes não aromáticos"
2707.99.40,,"Carbazole, from the distillation of high-temperature coal tar or similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents, having a purity of 65% or more by weight","Carbazol, a partir da destilação de alcatrão de carvão de alta temperatura ou produtos similares nos quais o peso dos constituintes aromáticos excede o dos constituintes não aromáticos, tendo uma pureza de 65% ou mais em peso"
2707.99.51,,"Phenols, from the distillation of high-temperature coal tar or similar products in which the weight of aromatic constituents exceeds that of nonaromatic constituents, containing more than 50% by weight of hydroxybenzene","Os fenóis, a partir da destilação de alcatrão de carvão de alta temperatura ou produtos similares, nos quais o peso dos constituintes aromáticos excede o de constituintes não aromáticos, contendo mais de 50% em peso de hidroxibenzeno"
2707.99.55,,"Metacresol, orthocresol, paracresol, and metaparacresol, from the distillation of high-temperature coal tar or similar products where the weight of the aromatic constituents exceeds that of the nonaromatic constituents, having a purity of 75% or more by weight","Metacresol, ortocresol, paracresol e metaparacresol, a partir da destilação de alcatrão de carvão de alta temperatura ou produtos similares, onde o peso dos constituintes aromáticos excede o dos constituintes não aromáticos, com pureza de 75% ou mais por peso"
2707.99.59,,"Phenols, nesoi","Fenóis, Nesoi"
2707.99.90,,"Other products of the distillation of high-temperature coal tar and similar products in which the weight of the aromatic constituents exceed that of the nonaromatic constituents, nesoi","Outros produtos da destilação de alcatrão de carvão de alta temperatura e produtos similares nos quais o peso dos constituintes aromáticos excede o dos constituintes não-aromáticos, nesoi"
2708.10.00,,"Pitch, obtained from coal tar or other mineral tars","Tom, obtido de alcatrão de carvão ou outro alcatrão mineral"
2708.20.00,,"Pitch coke, obtained from coal tar or other mineral tars","Coca -Cola, obtida de alcatrão de carvão ou outro alcatrão mineral"
2709.00.10,,"Petroleum oils and oils from bituminous minerals, crude, testing under 25 degrees A.P.I.","Óleos e óleos de petróleo de minerais betuminosos, petróleo, testando menos de 25 graus A.P.I."
2709.00.20,,"Petroleum oils and oils from bituminous minerals, crude, testing 25 degrees A.P.I. or more","Óleos e óleos de petróleo de minerais betuminosos, petróleo, testando 25 graus A.P.I. ou mais"
2710.12.15,,"Light oil motor fuel from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Combustível leve ao motor de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo em peso 70%+ de óleos de petróleo ou óleos obtidos de minerais bituminosos, exceto aqueles que contêm biodiesel e outros óleos residuais"
2710.12.18,,"Light oil motor fuel blending stock from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Limpeza de combustível de petróleo de petróleo de petróleo de petróleo de petróleo de petróleo de petróleo de petróleo de petróleo de minerais betuminosos (exceto o petróleo) ou preparações nesoi contendo em peso 70%+ de óleos de petróleo ou óleos obtidos de minerais betuminosos, exceto aqueles que contêm biodiesel e outros oleosos que não sejam oleosos"
2710.12.25,,"Naphthas (except motor fuel or motor fuel blending stock) from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Naftas (exceto combustível de motor ou material de combustível de motor) de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo por peso 70%+ de óleos de petróleo ou óleos obtidos de minerais bituminosos, além daqueles que contêm biodiesel e outros oleosos resíduos de resíduos"
2710.12.45,,"Other light oil mixtures of hydrocarbons nesoi, containing by weight not over 50% of any single hydrocarbon compound, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Other light oil mixtures of hydrocarbons nesoi, containing by weight not over 50% of any single hydrocarbon compound, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils"
2710.12.90,,"Other light oils and preparations from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Outros óleos leves e preparações de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo em peso 70%+ de óleos de petróleo ou óleos obtidos de minerais betuminosos, exceto aqueles que contêm biodiesel e outros oleosos que não sejam oleosos"
2710.19.06,,"Distillate and residual fuel oils (including blended fuel oils), testing under 25 degrees A.P.I., from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Óleos combustíveis destilados e residuais (incluindo óleos combustíveis combinados), testando menos de 25 graus A.P.I., de óleos de petróleo e óleos de minerais betuminosos (exceto brutos) ou preparações nesoi contendo por peso 70%+ de petróleo ou óleos obtidos de minerais bituminosos, outros que não contêm biods."
2710.19.11,,"Distillate and residual fuel oils (including blended fuel oils), testing 25 degrees A.P.I. or more, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Óleos combustíveis destilados e residuais (incluindo óleos combustíveis combinados), testando 25 graus A.P.I. Ou mais, a partir de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo em peso 70%+ de óleos ou óleos de petróleo obtidos de minerais bituminosos, exceto aqueles que contêm biodiesel e outros óleos residuais"
2710.19.16,,"Kerosene-type jet fuel from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Combustível de aviação do tipo querosene de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo em peso 70%+ de óleos ou óleos de petróleo obtidos de minerais betuminosos, além daqueles que contêm biodiesel e outros oleosos residuais"
2710.19.24,,"Kerosene motor fuel (except kerosene-type jet fuel) from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Combustível motor de querosene (exceto combustível de aviação do tipo querosene) de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo em peso 70%+ de óleos de petróleo ou óleos obtidos de minerais betuminosos, além daqueles que contêm biodiessel e outros oleosos residuais"
2710.19.25,,"Kerosene motor fuel blending stock (except kerosene-type jet fuel) from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","O material de mistura de combustível motor de querosene (exceto combustível de aviação do tipo querosene) a partir de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo por peso 70%+ de óleos de petróleo ou óleos obtidos de bituminosos, além daqueles que contêm biodiesel e outros oleosos e outros oleosos, obtidos de bituminosos, além daqueles que contêm biodiesel e outros oleosos e outros oleosos, obtidos de bituminos"
2710.19.26,,"Kerosene (except kerosene-type jet fuel, kerosene motor fuel, and kerosene motor fuel blending stock) from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Kerosene (except kerosene-type jet fuel, kerosene motor fuel, and kerosene motor fuel blending stock) from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils"
2710.19.30,,"Lubricating oils, with or without additives, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Óleos lubrificantes, com ou sem aditivos, de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo por peso 70%+ de óleos de petróleo ou óleos obtidos de minerais betuminosos, exceto aqueles que contêm biodiesel e outros óleos residuais"
2710.19.35,,"Lubricating greases, containing not over 10% by weight of salts of fatty acids of animal (including marine animal) or vegetable origin, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Lubricating greases, containing not over 10% by weight of salts of fatty acids of animal (including marine animal) or vegetable origin, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils"
2710.19.40,,"Other lubricating greases from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, other than those containing biodiesel, and other than waste oils","Outras graxas lubrificantes de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações contendo por peso 70%+ de óleos ou óleos de petróleo obtidos de minerais bituminosos, exceto aqueles que contêm biodiesel e outros óleos residuais"
2710.19.45,,"Mixtures of hydrocarbons nesoi, which contain by weight not over 50% of any single hydrocarbon compound, from petroleum oils and oils of bituminous minerals (other than crude) or preparations containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals","Misturas de hidrocarbonetos nesoi, que contêm em peso não mais de 50% de qualquer composto de hidrocarboneto único, de óleos de petróleo e óleos de minerais betuminosos (exceto bruto) ou preparações contendo por peso 70%+ de óleos de petróleo ou óleos obtidos de minerais bituminosos"
2710.19.90,,Other petroleum oils and oils from bituminous minerals or preparations nesoi containing by weight 70% or more of petroleum oils or oils obtained from bituminous minerals,Outros óleos e óleos de petróleo de minerais ou preparações betuminosas nesoi contendo em peso 70% ou mais de óleos ou óleos de petróleo obtidos de minerais betuminosos
2710.20.05,,"Distillate and residual fuel oils (including blended fuel oils), testing under 25 degrees A.P.I., from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, and other than waste oils","Distillate and residual fuel oils (including blended fuel oils), testing under 25 degrees A.P.I., from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, and other than waste oils"
2710.20.10,,"Distillate and residual fuel oils (including blended fuel oils), testing 25 degrees A.P.I. or more, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, and other than waste oils","Óleos combustíveis destilados e residuais (incluindo óleos combustíveis combinados), testando 25 graus A.P.I. ou mais, a partir de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo em peso 70%+ de óleos ou óleos de petróleo obtidos de minerais bituminosos, contendo biodiesel e outros óleos residuais"
2710.20.15,,"Kerosene-type jet fuel, motor fuel or motor fuel blending stock, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, and other than waste oils","Combustível de aviação do tipo querosene, combustível de motor ou material de combustível de motor, de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo por peso 70%+ de óleos de petróleo ou óleos obtidos de minerais betuminosos, contendo biodiesel e outros oleosos resíduos"
2710.20.25,,"Kerosene (except kerosene-type jet fuel, motor fuel or motor fuel blending stock, from petroleum oils and oils of bituminous minerals (other than crude) or preparations nesoi containing by weight 70%+ of petroleum oils or oils obtained from bituminous minerals, containing biodiesel, other than waste oils","O querosene (exceto o combustível de aviação do tipo querosene, combustível de motor ou material de combustível de motor, de óleos de petróleo e óleos de minerais betuminosos (exceto petróleo) ou preparações nesoi contendo em peso 70%+ de óleos de petróleo ou óleos obtidos de minerais betuminosos, contendo biodiesel, outros oleosos que não são os resíduos, não"
2710.91.00,,"Waste oils containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs) or polybrominated biphenyls (PBBs)","Óleos residuais contendo bifenilos policlorados (PCBs), terfenilos policlorados (PCTs) ou bifenilos polibromados (PBBS)"
2710.99.05,,Wastes of distillate and residual fuel oil (including blends) testing under 25 degrees A.P.I.,Resíduos de óleo combustível destilado e residual (incluindo misturas) Testes abaixo de 25 graus A.P.I.
2710.99.10,,Wastes of distillate and residual fuel oil (including blends) testing 25 degrees A.P.I. or more,Resíduos de óleo combustível destilado e residual (incluindo misturas) Testes de 25 graus A.P.I. ou mais
2710.99.16,,Waste motor fuel or motor fuel blending stock,Desperdício de combustível de motor ou material de mistura de combustível motor
2710.99.21,,Waste kerosene or naphthas,Desperdício de querosene ou naftas
2710.99.31,,"Waste lubricating oils, with or without additives","Óleos de resíduos lubrificantes, com ou sem aditivos"
2710.99.32,,"Waste lubricating greases, containing not over 10% by weight of fatty acids of animal (including marine animal) or vegetable origin","Gretas de resíduos lubrificantes, contendo não mais de 10% em peso de ácidos graxos de animal (incluindo animal marinho) ou origem vegetal"
2710.99.39,,Other wastes of lubricating oils and greases,Outros resíduos de óleos e graxas lubrificantes
2710.99.45,,Waste oil mixtures of hydrocarbons nesoi containing not over 50% of any single hydrocarbon compound,Misturas de óleo de resíduos de hidrocarbonetos nesoi contendo não mais de 50% de qualquer composto de hidrocarboneto único
2710.99.90,,Other waste oils,Outros óleos residuais
2711.11.00,,"Natural gas, liquefied","Gás natural, liquefeito"
2711.12.00,,"Propane, liquefied","Propano, liquefeito"
2711.13.00,,"Butanes, liquefied","Butanos, liquefeito"
2711.14.00,,"Ethylene, propylene, butylene and butadiene, liquefied","Etileno, propileno, butileno e butadieno, liquefeito"
2711.19.00,,"Petroleum gases and other gaseous hydrocarbons, liquefied, nesoi","Gases de petróleo e outros hidrocarbonetos gasosos, liquefeito, nesoi"
2711.21.00,,"Natural gas, in gaseous state","Gás natural, em estado gasoso"
2711.29.00,,"Petroleum gases and other gaseous hydrocarbons, except natural gas","Gases de petróleo e outros hidrocarbonetos gasosos, exceto gás natural"
2712.10.00,,Petroleum jelly,Vaselina
2712.20.00,,"Paraffin wax (whether or not colored), obtained by synthesis or other process and less than 0.75% oil by weight","Cera de parafina (de cor), obtida por síntese ou outro processo e menos de 0,75% de petróleo em peso em peso"
2712.90.10,,"Montan wax (whether or not colored), obtained by synthesis or other process","Montan Wax (colorida), obtida por síntese ou outro processo"
2712.90.20,,"Mineral waxes (i.e., paraffin with 0.75%+ oil, microcrystalline wax, slack lignite and peat waxes, ozokerite), obtained by synthesis","Cadeiras minerais (isto é, parafina com 0,75%+ óleo, cera microcristalina, linhita frouxa e ceras de turfa, ozockeita), obtidas por síntese"
2713.11.00,,"Petroleum coke, not calcined","Coca -cola de petróleo, não calcinada"
2713.12.00,,"Petroleum coke, calcined","Coca -cola de petróleo, calcinada"
2713.20.00,,Petroleum bitumen,Betume de petróleo
2713.90.00,,Residues (except petroleum coke or petroleum bitumen) of petroleum oils or of oils obtained from bituminous materials,Resíduos (exceto o betume de coque petrolífero ou petróleo) de óleos de petróleo ou de óleos obtidos de materiais betuminosos
2714.10.00,,Bituminous or oil shale and tar sands,Betuminoso ou xisto de óleo e areias betuminosas
2714.90.00,,"Bitumen and asphalt, natural; asphaltites and asphaltic rocks","Betume e asfalto, naturais; asfaltitos e rochas asfálticas"
2715.00.00,,"Bituminous mixtures based on natural asphalt, natural bitumen, petroleum bitumen, mineral tar or mineral tar pitch","Misturas betuminosas baseadas em asfalto natural, betume natural, betume de petróleo, alcatrão mineral ou alcatrão mineral"
2716.00.00,,Electrical energy,Energia elétrica
2804.69.10,,"Silicon, containing by weight less than 99.99% but not less than 99% of silicon","Silício, contendo em peso inferior a 99,99%, mas não menos de 99% do silício"
2804.69.50,,"Silicon, containing by weight less than 99% of silicon","Silício, contendo em peso inferior a 99% de silício"
2815.20.00,,Potassium hydroxide (Caustic potash),Hidróxido de potássio (cáustica potássio)
2818.20.00,,"Aluminum oxide, other than artificial corundum","Óxido de alumínio, exceto o corundão artificial"
2825.90.20,,Tin oxides,Óxidos de lata
2827.39.25,,Tin chlorides,Cloretos de lata
2903.19.05,,"1,2-dichloropropane (propylene dichloride) and dichlorobutanes","1,2-dicloropropano (dicloreto de propileno) e diclorobutanos"
2903.19.10,,Hexachloroethane and tetrachloroethane,Hexacloroetano e tetracloroetano
2903.19.30,,Sec-butyl chloride,Cloreto de sec-butil
2903.19.60,,"Other saturated chlorinated hydrocarbons, other","Outros hidrocarbonetos clorados saturados, outros"
3105.10.00,,Fertilizers of chapter 31 in tablets or similar forms or in packages of a gross weight not exceeding 10 kg,Fertilizantes do Capítulo 31 em comprimidos ou formas semelhantes ou em pacotes de um peso bruto que não exceda 10 kg
3105.20.00,,"Mineral or chemical fertilizers containing the three fertilizing elements nitrogen, phosphorus and potassium","Fertilizantes minerais ou químicos contendo os três elementos de fertilização nitrogênio, fósforo e potássio"
3105.60.00,,Mineral or chemical fertilizers containing the two fertilizing elements phosphorous and potassium,Fertilizantes minerais ou químicos que contêm os dois elementos fertilizantes fósforo e potássio
3917.21.00,*,"Tubes, pipes and hoses, rigid, of polymers of ethylene","Tubos, tubos e mangueiras, rígidos, de polímeros de etileno"
3917.22.00,*,"Tubes, pipes and hoses, rigid, of polymers of propylene","Tubos, tubos e mangueiras, rígidos, de polímeros de propileno"
3917.23.00,*,"Tubes, pipes and hoses, rigid, of polymers of vinyl chloride","Tubos, tubos e mangueiras, rígidos, de polímeros de cloreto de vinil"
3917.29.00,*,"Tubes, pipes and hoses, rigid, of other plastics, nesoi","Tubos, tubos e mangueiras, rígidos, de outros plásticos, nesoi"
3917.31.00,*,"Flexible plastic tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","Tubos de plástico flexíveis, tubos e mangueiras, tendo uma pressão de rajada mínima de 27,6 MPa"
3917.33.00,*,"Flexible plastic tubes, pipes and hoses, nesoi, with fittings, not reinforced or otherwise combined with other materials, with fittings","Tubos de plástico flexíveis, tubos e mangueiras, nesoi, com acessórios, não reforçados ou combinados com outros materiais, com acessórios"
3917.39.00,*,"Flexible plastic tubes, pipes and hoses, nesoi","Tubos de plástico flexíveis, tubos e mangueiras, nesoi"
3917.40.00,*,"Fittings of plastics for other tubes, pipes and hoses, nesoi","Acessórios de plásticos para outros tubos, tubos e mangueiras, nesoi"
3926.90.45,*,"Gaskets, washers and other seals of plastics","Juntas, arruelas e outros selos de plásticos"
3926.90.94,*,"Cards, not punched, suitable for use as, or in making, jacquard cards; Jacquard cards and jacquard heads for power-driven weaving machines, and parts thereof; and Transparent sheeting of plastics containing 30% or more by weight of lead","Cartões, não perfurados, adequados para uso como ou na criação de cartões Jacquard; Cartões Jacquard e Jacquard se dirigem para máquinas de tecelagem orientadas por energia e peças; e folhas transparentes de plásticos contendo 30% ou mais em peso de chumbo"
3926.90.96,*,"Casing for bicycle derailleur cables and casing for cable or inner wire for caliper and cantilever brakes, whether or not cut to length, of plastic","Castamento para cabos de desviador de bicicleta e revestimento para cabo ou fio interno para os freios de pinça e cantilever, seja ou não com comprimento, de plástico"
3926.90.99,*,"Other articles of plastic, nesoi","Outros artigos de plástico, nesoi"
4008.29.20,*,"Profile shapes of noncellular, vulcanized rubber other than hard rubber",Formas de perfil de borracha não -celular e vulcanizada além de borracha dura
4009.12.00,*,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, not reinforced or combined with other materials, with fittings","Tubos, tubos e mangueiras de borracha vulcanizada que não sejam de borracha dura, não reforçada ou combinada com outros materiais, com acessórios"
4009.22.00,*,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, reinforced or combined only with metal, with fittings","Tubos, tubos e mangueiras de borracha vulcanizada que não sejam de borracha dura, reforçada ou combinada apenas com metal, com acessórios"
4009.32.00,*,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, reinforced or combined only with textile materials, with fittings","Tubos, tubos e mangueiras de borracha vulcanizada que não sejam de borracha dura, reforçada ou combinada apenas com materiais têxteis, com acessórios"
4009.42.00,*,"Tubes, pipes and hoses of vulcanized rubber other than hard rubber, reinforced or combined with other materials, nesoi, with fittings","Tubos, tubos e mangueiras de borracha vulcanizada que não sejam de borracha dura, reforçada ou combinada com outros materiais, nesoi, com acessórios"
4011.30.00,*,"New pneumatic tires, of rubber, of a kind used on aircraft","Novos pneus pneumáticos, de borracha, do tipo usado em aeronaves"
4012.13.00,*,"Retreaded pneumatic tires, of rubber, of a kind used on aircraft","Pneus pneumáticos renovados, de borracha, do tipo usado em aeronaves"
4012.20.10,*,"Used pneumatic tires of rubber, for aircraft","Pneus pneumáticos usados de borracha, para aeronaves"
4016.10.00,*,Articles of cellular vulcanized rubber other than hard rubber,Artigos de borracha vulcanizada celular que não sejam de borracha dura
4016.93.50,*,"Gaskets, washers and other seals, of noncellular vulcanized rubber other than hard rubber, not for use in the automotive goods of chapter 87","Juntas, arruelas e outras focas, de borracha vulcanizada não celular, exceto borracha dura, não para uso nos bens automotivos do capítulo 87"
4016.99.35,*,"Articles made of noncellular vulcanized natural rubber other than hard rubber, not used as vibration control goods in the vehicles of headings 8701 through 8705, nesoi","Artigos feitos de borracha natural vulcanizada não -celular que não sejam de borracha dura, não usada como bens de controle de vibração nos veículos de títulos 8701 a 8705, nesoi"
4016.99.60,*,Articles of noncellular vulcanized synthetic rubber other than hard rubber,Artigos de borracha sintética vulcanizada não -celular que não sejam de borracha dura
4017.00.00,*,"Hard rubber (for example, ebonite) in all forms, including waste and scrap; articles of hard rubber","Borracha dura (por exemplo, ebonite) em todas as formas, incluindo resíduos e sucata; Artigos de borracha dura"
4407.29.02,,"Tropical wood, nesoi, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm","Madeira tropical, nesoi, serrada ou lascada longitudinalmente, fatiada ou descascada, planejada, lixada ou com articulação final, de uma espessura superior a 6 mm"
4504.90.00,*,"Agglomerated cork and articles of agglomerated cork, nesoi","Cork aglomerada e artigos de cortiça aglomerada, nesoi"
4702.00.00,,"Chemical woodpulp, dissolving grades","Woodpulp químico, graus de dissolução"
4703.11.00,,"Chemical woodpulp, soda or sulfate, other than dissolving grades, of unbleached coniferous wood","Woodpulp químico, refrigerante ou sulfato, exceto graus de dissolução, de madeira conífera não branqueada"
4703.19.00,,"Chemical woodpulp, soda or sulfate, other than dissolving grades, of unbleached nonconiferous wood","Woodpulp químico, refrigerante ou sulfato, exceto graus de dissolução, de madeira não -coneal não branqueada"
4703.21.00,,"Chemical woodpulp, soda or sulfate, other than dissolving grades, of semibleached or bleached coniferous wood","Woodpulp químico, refrigerante ou sulfato, exceto graus de dissolução, de madeira de coníferas semi -branqueadas ou branqueadas"
4703.29.00,,"Chemical woodpulp, soda or sulfate, other than dissolving grades, of semibleached or bleached nonconiferous wood","Woodpulp químico, refrigerante ou sulfato, exceto graus de dissolução, de madeira não -convencional semi -branqueada ou branqueada"
